id,text,cleaned,sentiment
216,no issues so far. nice job. pls fix,"['issues', 'far', 'nice', 'job', 'pls', 'fix']",negative
217,order canceled without reason?? tbh,"['order', 'canceled', 'reason', 'tbh']",negative
218,haha they actually fixed it fast 👏👏 🤣,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands', 'rolling_on_the_floor_laughing']",positive
219,horrible! never ordering again 🤦‍♂️ #fail,"['horrible', 'ordering', 'man_facepalming']",negative
220,OMG 😍😍 this app is sooo cool!!! #awesome!!!,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool']",positive
221,what the hell is wrong with ur app?? 😤😤 💀,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose', 'skull']",negative
222,update ruined everything smh 😩 pls fix,"['update', 'ruined', 'smh', 'weary_face', 'pls', 'fix']",negative
223,ugh... delivery took foreverrr 😤😤 ...,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
224,update ruined everything smh 😩 😂😂,"['update', 'ruined', 'smh', 'weary_face', 'face_with_tears_of_joy::face_with_tears_of_joy']",negative
225,LOVED the new update!!! 💯💯🔥 #fail,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire']",positive
226,ugh... delivery took foreverrr 😤😤 lol,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'lol']",negative
227,yayyyy my order arrived 🥳🥳🥳 haha,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face', 'haha']",positive
228,quality was fine ig 🤷‍♂️,"['quality', 'fine', 'ig', 'man_shrugging']",negative
229,Product okish... not bad tbh. pls fix,"['product', 'okish', 'bad', 'tbh', 'pls', 'fix']",negative
230,order canceled without reason?? omg,"['order', 'canceled', 'reason', 'omg']",negative
231,order canceled without reason?? pls fix,"['order', 'canceled', 'reason', 'pls', 'fix']",negative
232,ugh... delivery took foreverrr 😤😤 pls fix,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'pls', 'fix']",negative
233,wtf was that error msg lol 😂😂 tbh,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy', 'tbh']",negative
234,horrible! never ordering again 🤦‍♂️ 🤣,"['horrible', 'ordering', 'man_facepalming', 'rolling_on_the_floor_laughing']",negative
235,idk man... the site keeps lagging :( haha,"['idk', 'man', 'site', 'keeps', 'lagging', 'haha']",negative
236,horrible! never ordering again 🤦‍♂️ haha,"['horrible', 'ordering', 'man_facepalming', 'haha']",negative
237,OMG 😍😍 this app is sooo cool!!! #awesome #fail,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool']",positive
238,what the hell is wrong with ur app?? 😤😤 omg,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose', 'omg']",negative
239,update ruined everything smh 😩 smh,"['update', 'ruined', 'smh', 'weary_face', 'smh']",negative
240,OMG 😍😍 this app is sooo cool!!! #awesome 🤣,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool', ' ', 'rolling_on_the_floor_laughing']",positive
241,order canceled without reason?? smh,"['order', 'canceled', 'reason', 'smh']",negative
242,brooo this thing is AMAZINGGG 😍🔥!!!,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire']",positive
243,wtf was that error msg lol 😂😂!!!,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
244,customer srvc was great 👍👍 💀,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up', 'skull']",positive
245,Received item late but okay quality. asap,"['received', 'item', 'late', 'okay', 'quality', 'asap']",negative
246,order canceled without reason?? 💀,"['order', 'canceled', 'reason', 'skull']",negative
247,no issues so far. nice job. #fail,"['issues', 'far', 'nice', 'job']",neutral
248,horrible! never ordering again 🤦‍♂️ haha,"['horrible', 'ordering', 'man_facepalming', 'haha']",negative
249,meh... okay experience overall.,"['meh', 'okay', 'experience', 'overall']",negative
250,LOVED the new update!!! 💯💯🔥 ...,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire']",positive
251,idk man... the site keeps lagging :( omg,"['idk', 'man', 'site', 'keeps', 'lagging', 'omg']",negative
252,order canceled without reason?? lol,"['order', 'canceled', 'reason', 'lol']",negative
253,meh... okay experience overall. asap,"['meh', 'okay', 'experience', 'overall', 'asap']",negative
254,what the hell is wrong with ur app?? 😤😤 tbh,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose', 'tbh']",negative
255,idk man... the site keeps lagging :( 💀,"['idk', 'man', 'site', 'keeps', 'lagging', 'skull']",negative
256,customer srvc was great 👍👍!!!,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up']",positive
257,customer srvc was great 👍👍 🤣,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up', 'rolling_on_the_floor_laughing']",positive
258,customer srvc was great 👍👍 asap,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up', 'asap']",positive
259,no issues so far. nice job. asap,"['issues', 'far', 'nice', 'job', 'asap']",negative
260,Received item late but okay quality. #fail,"['received', 'item', 'late', 'okay', 'quality']",negative
261,brooo this thing is AMAZINGGG 😍🔥 frfr,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'frfr']",positive
262,ugh... delivery took foreverrr 😤😤 @brand,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
263,OMG 😍😍 this app is sooo cool!!! #awesome,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool']",positive
264,what the hell is wrong with ur app?? 😤😤 #review,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
265,brooo this thing is AMAZINGGG 😍🔥 asap,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'asap']",positive
266,Received item late but okay quality. #review,"['received', 'item', 'late', 'okay', 'quality']",negative
267,quality was fine ig 🤷‍♂️ 🤣,"['quality', 'fine', 'ig', 'man_shrugging', 'rolling_on_the_floor_laughing']",negative
268,customer srvc was great 👍👍 #review,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up']",positive
269,update ruined everything smh 😩 #review,"['update', 'ruined', 'smh', 'weary_face']",negative
270,ugh... delivery took foreverrr 😤😤 asap,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'asap']",negative
271,no issues so far. nice job. #fail,"['issues', 'far', 'nice', 'job']",neutral
272,OMG 😍😍 this app is sooo cool!!! #awesome asap,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool', ' ', 'asap']",positive
273,ugh... delivery took foreverrr 😤😤 #fail,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
274,Product okish... not bad tbh. 💀,"['product', 'okish', 'bad', 'tbh', 'skull']",negative
275,customer srvc was great 👍👍 #fail,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up']",positive
276,meh... okay experience overall.,"['meh', 'okay', 'experience', 'overall']",negative
277,meh... okay experience overall. pls fix,"['meh', 'okay', 'experience', 'overall', 'pls', 'fix']",negative
278,LOVED the new update!!! 💯💯🔥 omg,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire', 'omg']",positive
279,quality was fine ig 🤷‍♂️ omg,"['quality', 'fine', 'ig', 'man_shrugging', 'omg']",negative
280,OMG 😍😍 this app is sooo cool!!! #awesome,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool']",positive
281,wtf was that error msg lol 😂😂 @brand,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
282,why the payment keeps failing 😡 @company pls fix!! 😂😂,"['payment', 'keeps', 'failing', 'enraged_face', ' ', 'pls', 'fix', 'face_with_tears_of_joy::face_with_tears_of_joy']",negative
283,haha they actually fixed it fast 👏👏 omg,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands', 'omg']",positive
284,horrible! never ordering again 🤦‍♂️ 🤣,"['horrible', 'ordering', 'man_facepalming', 'rolling_on_the_floor_laughing']",negative
285,no issues so far. nice job. #fail,"['issues', 'far', 'nice', 'job']",neutral
286,Received item late but okay quality. 😂😂,"['received', 'item', 'late', 'okay', 'quality', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
287,Product okish... not bad tbh. @brand,"['product', 'okish', 'bad', 'tbh']",negative
288,update ruined everything smh 😩 🤣,"['update', 'ruined', 'smh', 'weary_face', 'rolling_on_the_floor_laughing']",negative
289,update ruined everything smh 😩!!!,"['update', 'ruined', 'smh', 'weary_face']",negative
290,what the hell is wrong with ur app?? 😤😤!!!,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
291,Received item late but okay quality. ...,"['received', 'item', 'late', 'okay', 'quality']",negative
292,ugh... delivery took foreverrr 😤😤 #review,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
293,update ruined everything smh 😩 #review,"['update', 'ruined', 'smh', 'weary_face']",negative
294,ugh... delivery took foreverrr 😤😤 💀,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'skull']",negative
295,quality was fine ig 🤷‍♂️!!!,"['quality', 'fine', 'ig', 'man_shrugging']",negative
296,ugh... delivery took foreverrr 😤😤 smh,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'smh']",negative
297,brooo this thing is AMAZINGGG 😍🔥 ...,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire']",positive
298,why the payment keeps failing 😡 @company pls fix!! asap,"['payment', 'keeps', 'failing', 'enraged_face', ' ', 'pls', 'fix', 'asap']",negative
299,yayyyy my order arrived 🥳🥳🥳 #loveit,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face']",positive
300,OMG 😍😍 this app is sooo cool!!! #awesome pls fix,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool', ' ', 'pls', 'fix']",positive
301,quality was fine ig 🤷‍♂️ tbh,"['quality', 'fine', 'ig', 'man_shrugging', 'tbh']",negative
302,horrible! never ordering again 🤦‍♂️ asap,"['horrible', 'ordering', 'man_facepalming', 'asap']",negative
303,ugh... delivery took foreverrr 😤😤 😂😂,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'face_with_tears_of_joy::face_with_tears_of_joy']",negative
304,wtf was that error msg lol 😂😂!!!,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
305,idk man... the site keeps lagging :( lol,"['idk', 'man', 'site', 'keeps', 'lagging', 'lol']",negative
306,Received item late but okay quality. #fail,"['received', 'item', 'late', 'okay', 'quality']",negative
307,haha got refund today finally 😂😂 ...,"['haha', 'got', 'refund', 'today', 'finally', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
308,what the hell is wrong with ur app?? 😤😤 #review,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
309,idk man... the site keeps lagging :( tbh,"['idk', 'man', 'site', 'keeps', 'lagging', 'tbh']",negative
310,meh... okay experience overall. lol,"['meh', 'okay', 'experience', 'overall', 'lol']",neutral
311,ugh... delivery took foreverrr 😤😤 💀,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose', 'skull']",negative
312,order canceled without reason?? #fail,"['order', 'canceled', 'reason']",negative
313,Received item late but okay quality. #loveit,"['received', 'item', 'late', 'okay', 'quality']",negative
314,what the hell is wrong with ur app?? 😤😤 pls fix,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose', 'pls', 'fix']",negative
315,idk man... the site keeps lagging :( frfr,"['idk', 'man', 'site', 'keeps', 'lagging', 'frfr']",negative
316,no issues so far. nice job. tbh,"['issues', 'far', 'nice', 'job', 'tbh']",negative
317,order canceled without reason?? tbh,"['order', 'canceled', 'reason', 'tbh']",negative
318,haha they actually fixed it fast 👏👏 🤣,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands', 'rolling_on_the_floor_laughing']",positive
319,yayyyy my order arrived 🥳🥳🥳 😂😂,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
320,Received item late but okay quality. #review,"['received', 'item', 'late', 'okay', 'quality']",negative
321,OMG 😍😍 this app is sooo cool!!! #awesome #loveit,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool']",positive
322,yayyyy my order arrived 🥳🥳🥳 omg,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face', 'omg']",positive
323,customer srvc was great 👍👍 asap,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up', 'asap']",positive
324,idk man... the site keeps lagging :( pls fix,"['idk', 'man', 'site', 'keeps', 'lagging', 'pls', 'fix']",negative
325,update ruined everything smh 😩 omg,"['update', 'ruined', 'smh', 'weary_face', 'omg']",negative
326,wtf was that error msg lol 😂😂 🤣,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy', 'rolling_on_the_floor_laughing']",neutral
327,LOVED the new update!!! 💯💯🔥 lol,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire', 'lol']",positive
328,yayyyy my order arrived 🥳🥳🥳,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face']",positive
329,brooo this thing is AMAZINGGG 😍🔥 pls fix,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'pls', 'fix']",positive
330,why the payment keeps failing 😡 @company pls fix!! #loveit,"['payment', 'keeps', 'failing', 'enraged_face', ' ', 'pls', 'fix']",negative
331,horrible! never ordering again 🤦‍♂️ #loveit,"['horrible', 'ordering', 'man_facepalming']",negative
332,Product okish... not bad tbh. tbh,"['product', 'okish', 'bad', 'tbh', 'tbh']",negative
333,haha got refund today finally 😂😂 #review,"['haha', 'got', 'refund', 'today', 'finally', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
334,yayyyy my order arrived 🥳🥳🥳 💀,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face', 'skull']",positive
335,wtf was that error msg lol 😂😂,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
336,OMG 😍😍 this app is sooo cool!!! #awesome,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool']",positive
337,LOVED the new update!!! 💯💯🔥 @brand,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire']",positive
338,horrible! never ordering again 🤦‍♂️ smh,"['horrible', 'ordering', 'man_facepalming', 'smh']",negative
339,brooo this thing is AMAZINGGG 😍🔥 haha,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'haha']",positive
340,wtf was that error msg lol 😂😂 tbh,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy', 'tbh']",negative
341,wtf was that error msg lol 😂😂 #loveit,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
342,order canceled without reason?? asap,"['order', 'canceled', 'reason', 'asap']",negative
343,Product okish... not bad tbh. omg,"['product', 'okish', 'bad', 'tbh', 'omg']",negative
344,no issues so far. nice job. tbh,"['issues', 'far', 'nice', 'job', 'tbh']",negative
345,update ruined everything smh 😩 #loveit,"['update', 'ruined', 'smh', 'weary_face']",negative
346,LOVED the new update!!! 💯💯🔥 omg,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire', 'omg']",positive
347,OMG 😍😍 this app is sooo cool!!! #awesome tbh,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool', ' ', 'tbh']",positive
348,OMG 😍😍 this app is sooo cool!!! #awesome #review,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool']",positive
349,no issues so far. nice job.,"['issues', 'far', 'nice', 'job']",neutral
350,idk man... the site keeps lagging :(!!!,"['idk', 'man', 'site', 'keeps', 'lagging']",negative
351,customer srvc was great 👍👍 @brand,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up']",positive
352,LOVED the new update!!! 💯💯🔥 tbh,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire', 'tbh']",neutral
353,OMG 😍😍 this app is sooo cool!!! #awesome #review,"['omg', 'smiling_face_with_heart', 'eyes::smiling_face_with_heart', 'eyes', 'app', 'sooo', 'cool']",positive
354,what the hell is wrong with ur app?? 😤😤,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
355,meh... okay experience overall. 🤣,"['meh', 'okay', 'experience', 'overall', 'rolling_on_the_floor_laughing']",negative
356,Product okish... not bad tbh. haha,"['product', 'okish', 'bad', 'tbh', 'haha']",negative
357,customer srvc was great 👍👍!!!,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up']",positive
358,horrible! never ordering again 🤦‍♂️ lol,"['horrible', 'ordering', 'man_facepalming', 'lol']",negative
359,update ruined everything smh 😩 💀,"['update', 'ruined', 'smh', 'weary_face', 'skull']",negative
360,brooo this thing is AMAZINGGG 😍🔥 lol,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'lol']",positive
361,wtf was that error msg lol 😂😂 💀,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy', 'skull']",negative
362,why the payment keeps failing 😡 @company pls fix!! pls fix,"['payment', 'keeps', 'failing', 'enraged_face', ' ', 'pls', 'fix', 'pls', 'fix']",negative
363,customer srvc was great 👍👍 #loveit,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up']",positive
364,LOVED the new update!!! 💯💯🔥 #fail,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire']",positive
365,meh... okay experience overall. 😂😂,"['meh', 'okay', 'experience', 'overall', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
366,haha they actually fixed it fast 👏👏 😂😂,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
367,brooo this thing is AMAZINGGG 😍🔥 omg,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'omg']",positive
368,what the hell is wrong with ur app?? 😤😤 asap,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose', 'asap']",negative
369,update ruined everything smh 😩,"['update', 'ruined', 'smh', 'weary_face']",negative
370,customer srvc was great 👍👍 ...,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up']",positive
371,order canceled without reason?? 💀,"['order', 'canceled', 'reason', 'skull']",negative
372,what the hell is wrong with ur app?? 😤😤 @brand,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
373,wtf was that error msg lol 😂😂 @brand,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
374,horrible! never ordering again 🤦‍♂️!!!,"['horrible', 'ordering', 'man_facepalming']",negative
375,haha got refund today finally 😂😂 pls fix,"['haha', 'got', 'refund', 'today', 'finally', 'face_with_tears_of_joy::face_with_tears_of_joy', 'pls', 'fix']",positive
376,update ruined everything smh 😩 😂😂,"['update', 'ruined', 'smh', 'weary_face', 'face_with_tears_of_joy::face_with_tears_of_joy']",negative
377,yayyyy my order arrived 🥳🥳🥳 haha,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face', 'haha']",positive
378,haha they actually fixed it fast 👏👏 #fail,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands']",positive
379,yayyyy my order arrived 🥳🥳🥳 💀,"['yayyyy', 'order', 'arrived', 'partying_face::partying_face::partying_face', 'skull']",positive
380,brooo this thing is AMAZINGGG 😍🔥 #fail,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire']",positive
381,horrible! never ordering again 🤦‍♂️ 🤣,"['horrible', 'ordering', 'man_facepalming', 'rolling_on_the_floor_laughing']",negative
382,LOVED the new update!!! 💯💯🔥 #fail,"['loved', 'new', 'update', 'hundred_points::hundred_points::fire']",positive
383,customer srvc was great 👍👍 lol,"['customer', 'srvc', 'great', 'thumbs_up::thumbs_up', 'lol']",positive
384,order canceled without reason?? #loveit,"['order', 'canceled', 'reason']",negative
385,brooo this thing is AMAZINGGG 😍🔥 frfr,"['brooo', 'thing', 'amazinggg', 'smiling_face_with_heart', 'eyes::fire', 'frfr']",positive
386,wtf was that error msg lol 😂😂 #fail,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
387,haha got refund today finally 😂😂 tbh,"['haha', 'got', 'refund', 'today', 'finally', 'face_with_tears_of_joy::face_with_tears_of_joy', 'tbh']",positive
388,meh... okay experience overall. 🤣,"['meh', 'okay', 'experience', 'overall', 'rolling_on_the_floor_laughing']",negative
389,no issues so far. nice job. #fail,"['issues', 'far', 'nice', 'job']",neutral
390,no issues so far. nice job. pls fix,"['issues', 'far', 'nice', 'job', 'pls', 'fix']",negative
391,order canceled without reason??!!!,"['order', 'canceled', 'reason']",negative
392,ugh... delivery took foreverrr 😤😤,"['ugh', 'delivery', 'took', 'foreverrr', 'face_with_steam_from_nose::face_with_steam_from_nose']",negative
393,order canceled without reason??!!!,"['order', 'canceled', 'reason']",negative
394,wtf was that error msg lol 😂😂!!!,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy']",neutral
395,wtf was that error msg lol 😂😂 😂😂,"['wtf', 'error', 'msg', 'lol', 'face_with_tears_of_joy::face_with_tears_of_joy', 'face_with_tears_of_joy::face_with_tears_of_joy']",positive
396,what the hell is wrong with ur app?? 😤😤 😂😂,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose', 'face_with_tears_of_joy::face_with_tears_of_joy']",negative
397,what the hell is wrong with ur app?? 😤😤 frfr,"['hell', 'wrong', 'ur', 'app', 'face_with_steam_from_nose::face_with_steam_from_nose', 'frfr']",negative
398,Product okish... not bad tbh. frfr,"['product', 'okish', 'bad', 'tbh', 'frfr']",negative
399,Product okish... not bad tbh. #review,"['product', 'okish', 'bad', 'tbh']",negative
400,haha they actually fixed it fast 👏👏 asap,"['haha', 'actually', 'fixed', 'fast', 'clapping_hands::clapping_hands', 'asap']",positive
